* ====================================================================
* record-id : 20260808-023237-61e0c25
* testbench : tb_device_mv_fet.spice
* corner    : typical
* temp      : 27 C
* supply    : n/a (no supply rail in this device-level testbench)
* pdk       : gf180mcuD (/home/ubuntu/.volare/gf180mcuD)
* ngspice   : ngspice-46 : Circuit level simulation program
* run (UTC) : 2026-08-08T02:32:37Z
* ====================================================================

Note: No compatibility mode selected!


Circuit: *include "corner.spice

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
 Reference value :  0.00000e+00
 Reference value :  4.00000e-03
 Reference value :  1.00000e-02
 Reference value :  1.40000e-02
 Reference value :  1.80000e-02
 Reference value :  2.20000e-02
 Reference value :  2.60000e-02
 Reference value :  3.20000e-02
 Reference value :  3.80000e-02
 Reference value :  4.20000e-02
 Reference value :  4.60000e-02
 Reference value :  5.00000e-02
 Reference value :  5.40000e-02
 Reference value :  5.80000e-02
 Reference value :  6.20000e-02
 Reference value :  6.80000e-02
 Reference value :  7.20000e-02
 Reference value :  7.60000e-02
 Reference value :  8.20000e-02
 Reference value :  8.80000e-02
 Reference value :  9.20000e-02
 Reference value :  9.60000e-02
 Reference value :  1.00000e-01
 Reference value :  1.04000e-01
 Reference value :  1.08000e-01
 Reference value :  1.12000e-01
 Reference value :  1.16000e-01
 Reference value :  1.20000e-01
 Reference value :  1.24000e-01
 Reference value :  1.28000e-01
 Reference value :  1.32000e-01
 Reference value :  1.36000e-01
 Reference value :  1.40000e-01
 Reference value :  1.44000e-01
 Reference value :  1.48000e-01
 Reference value :  1.52000e-01
 Reference value :  1.56000e-01
 Reference value :  1.60000e-01
 Reference value :  1.64000e-01
 Reference value :  1.68000e-01
 Reference value :  1.72000e-01
 Reference value :  1.76000e-01
 Reference value :  1.80000e-01
 Reference value :  1.84000e-01
 Reference value :  1.88000e-01
 Reference value :  1.94000e-01
 Reference value :  1.98000e-01
 Reference value :  2.02000e-01
 Reference value :  2.06000e-01
 Reference value :  2.10000e-01
 Reference value :  2.14000e-01
 Reference value :  2.18000e-01
 Reference value :  2.22000e-01
 Reference value :  2.26000e-01
 Reference value :  2.32000e-01
 Reference value :  2.36000e-01
 Reference value :  2.40000e-01
 Reference value :  2.44000e-01
 Reference value :  2.48000e-01
 Reference value :  2.52000e-01
 Reference value :  2.56000e-01
 Reference value :  2.60000e-01
 Reference value :  2.64000e-01
 Reference value :  2.68000e-01
 Reference value :  2.72000e-01
 Reference value :  4.10000e-01
No. of Data Rows : 501
                                                                                                                                                                                                                                                     *include "corner.spice
                                                                                                                                                                                                                                                     DC transfer characteristic  Sat Aug  8 02:32:49  2026
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Index   v-sweep         v(vfrac)        id_vt_n06       id_vt_p06       id_vt_n05       id_vt_p05       id_vt_n33       id_vt_p33       
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0	0.0000000000e+00	0.0000000000e+00	9.2277855964e-14	-5.047162233e-14	1.1799077092e-13	-5.049029192e-14	4.5548862587e-13	-7.183045336e-14	
1	2.0000000000e-03	2.0000000000e-03	1.0378644275e-13	-5.063034060e-14	1.3483034761e-13	-5.062859253e-14	5.3596379974e-13	-7.442522952e-14	
2	4.0000000000e-03	4.0000000000e-03	1.2522999458e-13	-5.092695258e-14	1.6326270948e-13	-5.086353968e-14	6.5392878777e-13	-7.818027846e-14	
3	6.0000000000e-03	6.0000000000e-03	1.5226180106e-13	-5.130153083e-14	1.9750215651e-13	-5.114721146e-14	7.8768491978e-13	-8.241639001e-14	
4	8.0000000000e-03	8.0000000000e-03	1.9022507636e-13	-5.182827265e-14	2.4291871589e-13	-5.152505475e-14	9.5146229563e-13	-8.756673910e-14	
5	1.0000000000e-02	1.0000000000e-02	2.4353897055e-13	-5.256818661e-14	3.0315986347e-13	-5.202747842e-14	1.1519926838e-12	-9.382862327e-14	
6	1.2000000000e-02	1.2000000000e-02	3.1840833392e-13	-5.360753988e-14	3.8306286328e-13	-5.269542001e-14	1.3975157502e-12	-1.014419134e-13	
7	1.4000000000e-02	1.4000000000e-02	4.2354484163e-13	-5.506750816e-14	4.8904263878e-13	-5.358340558e-14	1.6981164132e-12	-1.106982389e-13	
8	1.6000000000e-02	1.6000000000e-02	5.7117906718e-13	-5.711830014e-14	6.2960598019e-13	-5.476392253e-14	2.0661375627e-12	-1.219521536e-13	
9	1.8000000000e-02	1.8000000000e-02	7.7848072877e-13	-5.999899575e-14	8.1603318342e-13	-5.633333557e-14	2.5166849477e-12	-1.356347103e-13	
10	2.0000000000e-02	2.0000000000e-02	1.0695514594e-12	-6.404540920e-14	1.0632815568e-12	-5.841975110e-14	3.0682447740e-12	-1.522699624e-13	
11	2.2000000000e-02	2.2000000000e-02	1.4782204571e-12	-6.972922015e-14	1.3911828898e-12	-6.119347130e-14	3.7434391204e-12	-1.724950239e-13	
12	2.4000000000e-02	2.4000000000e-02	2.0519657783e-12	-7.771238707e-14	1.8260303410e-12	-6.488089060e-14	4.5699498558e-12	-1.970844547e-13	
13	2.6000000000e-02	2.6000000000e-02	2.8574133287e-12	-8.892415697e-14	2.4026811074e-12	-6.978296763e-14	5.5816485522e-12	-2.269799028e-13	
14	2.8000000000e-02	2.8000000000e-02	3.9880463956e-12	-1.046695027e-13	3.1673420984e-12	-7.629977857e-14	6.8199782000e-12	-2.633261364e-13	
15	3.0000000000e-02	3.0000000000e-02	5.5750111632e-12	-1.267804955e-13	4.1812598350e-12	-8.496315323e-14	8.3356426812e-12	-3.075148417e-13	
16	3.2000000000e-02	3.2000000000e-02	7.8022562676e-12	-1.578290275e-13	5.5256071253e-12	-9.648005321e-14	1.0190672337e-11	-3.612378590e-13	
17	3.4000000000e-02	3.4000000000e-02	1.0927736150e-11	-2.014252859e-13	7.3079532194e-12	-1.117901661e-13	1.2460949076e-11	-4.265518896e-13	
18	3.6000000000e-02	3.6000000000e-02	1.5313092766e-11	-2.626364947e-13	9.6708283520e-12	-1.321411733e-13	1.5239292887e-11	-5.059571408e-13	
19	3.8000000000e-02	3.8000000000e-02	2.1465182469e-11	-3.485742950e-13	1.2803057288e-11	-1.591912838e-13	1.8639234082e-11	-6.024929101e-13	
20	4.0000000000e-02	4.0000000000e-02	3.0094136833e-11	-4.692185431e-13	1.6954752063e-11	-1.951443039e-13	2.2799622972e-11	-7.198537497e-13	
21	4.2000000000e-02	4.2000000000e-02	4.2194477323e-11	-6.385724603e-13	2.2457137689e-11	-2.429284664e-13	2.7890261998e-11	-8.625306394e-13	
22	4.4000000000e-02	4.4000000000e-02	5.9158334166e-11	-8.762820531e-13	2.9748757173e-11	-3.064343221e-13	3.4118785958e-11	-1.035982540e-12	
23	4.6000000000e-02	4.6000000000e-02	8.2933306177e-11	-1.209905821e-12	3.9410090982e-11	-3.908306445e-13	4.1739065348e-11	-1.246844856e-12	
24	4.8000000000e-02	4.8000000000e-02	1.1624228542e-10	-1.678094937e-12	5.2209266366e-11	-5.029838788e-13	5.1061467914e-11	-1.503182730e-12	
25	5.0000000000e-02	5.0000000000e-02	1.6288911684e-10	-2.335047601e-12	6.9162369002e-11	-6.520150004e-13	6.2465386543e-11	-1.814798798e-12	
26	5.2000000000e-02	5.2000000000e-02	2.2818287217e-10	-3.256745571e-12	9.1612961460e-11	-8.500386835e-13	7.6414530290e-11	-2.193607073e-12	
27	5.4000000000e-02	5.4000000000e-02	3.1952557377e-10	-4.549681874e-12	1.2133683414e-10	-1.113144299e-12	9.3475582944e-11	-2.654087143e-12	
28	5.6000000000e-02	5.6000000000e-02	4.4722441116e-10	-6.363068115e-12	1.6067985859e-10	-1.462697604e-12	1.1434096407e-10	-3.213835875e-12	
29	5.8000000000e-02	5.8000000000e-02	6.2561111141e-10	-8.905897819e-12	2.1273919847e-10	-1.927067587e-12	1.3985658545e-10	-3.894237505e-12	
30	6.0000000000e-02	6.0000000000e-02	8.7457969852e-10	-1.247077975e-11	2.8160120764e-10	-2.543916744e-12	1.7105568712e-10	-4.721277405e-12	
31	6.2000000000e-02	6.2000000000e-02	1.2216912489e-09	-1.746719822e-11	3.7265328900e-10	-3.363237786e-12	2.0920006833e-10	-5.726530233e-12	
32	6.4000000000e-02	6.4000000000e-02	1.7050425392e-09	-2.446788194e-11	4.9299202417e-10	-4.451378734e-12	2.5583030753e-10	-6.948359662e-12	
33	6.6000000000e-02	6.6000000000e-02	2.3771570257e-09	-3.427337030e-11	6.5195627881e-10	-5.896376145e-12	3.1282690152e-10	-8.433374775e-12	
34	6.8000000000e-02	6.8000000000e-02	3.3102338465e-09	-4.800179372e-11	8.6182205538e-10	-7.815018685e-12	3.8248465823e-10	-1.023819775e-11	
35	7.0000000000e-02	7.0000000000e-02	4.6031859472e-09	-6.721351051e-11	1.1387059690e-09	-1.036219795e-11	4.6760316257e-10	-1.243160895e-11	
36	7.2000000000e-02	7.2000000000e-02	6.3910143846e-09	-9.408380436e-11	1.5037367718e-09	-1.374328051e-11	5.7159671611e-10	-1.509714957e-11	
